,dataset,train_time,test_time,train_hr,test_hr,train_sum,test_sum,total_hr,total_sum
77,UWaveGestureLibraryY,536.3265256270909,185.85762479572728,0.14897959045196968,0.05162711799881313,2.904607710990576,0.535394910357239,0.2006067084507828,3.440002621347816
59,ScreenType,758.1177662141818,18.81701434081818,0.21058826839282827,0.00522694842800505,3.1151959793834045,0.540621858785244,0.21581521682083332,3.6558178381686495
58,RefrigerationDevices,800.6406680264546,56.882339551090915,0.22240018556290406,0.01580064987530303,3.3375961649463086,0.5564225086605471,0.23820083543820708,3.8940186736068565
41,Mallat,125.06503942690907,763.023348800909,0.034740288729696964,0.21195093022247474,3.3723364536760054,0.7683734388830219,0.2466912189521717,4.140709892559028
22,ElectricDevices,1420.0952175155,244.6448329093,0.39447089375430555,0.0679568980303611,3.766807347430311,0.836330336913383,0.4624277917846667,4.603137684343695
35,InlineSkate,1372.2718950343,412.88228351690003,0.3811866375095278,0.1146895231991389,4.147993984939839,0.9510198601125219,0.4958761607086667,5.099013845052362
61,ShapesAll,2743.6573190461,636.8693543159001,0.762127033068361,0.17690815397663892,4.9101210180082,1.1279280140891608,0.939035187045,6.038049032097362
65,StarlightCurves,2865.6739629792996,1389.6770619013,0.7960205452720277,0.38602140608369445,5.7061415632802275,1.5139494201728552,1.182041951355722,7.220090983453084
75,UWaveGestureLibraryAll,3408.4846205067,1944.4586411644,0.9468012834740833,0.5401274003234444,6.652942846754311,2.0540768204962996,1.4869286837975277,8.707019667250613
29,FordB,9072.504023827,24.9734607365,2.520140006618611,0.006937072426805556,9.173082853372922,2.061013892923105,2.5270770790454167,11.234096746296029
28,FordA,9935.3178528354,49.3086415402,2.7598105146765,0.013696844872277777,11.932893368049422,2.074710737795383,2.773507359548778,14.007604105844806
53,Phoneme,3212.5296128666,6835.1043492015,0.8923693369073888,1.8986400970004165,12.825262704956812,3.9733508347957995,2.7910094339078055,16.798613539752612
49,NonInvasiveFetalECGThorax2,13830.433669413585,3079.7857234396665,3.8417871303926625,0.8554960342887963,16.667049835349474,4.828846869084596,4.697283164681458,21.49589670443407
48,NonInvasiveFetalECGThorax1,14691.089387099337,2941.82150303575,4.080858163083149,0.8171726397321528,20.747907998432623,5.646019508816749,4.898030802815303,26.393927507249373
32,HandOutlines,53380.223743709845,697.7979641993334,14.82783992880829,0.19383276783314815,35.57574792724091,5.839852276649896,15.02167269664144,41.41560020389081
